state_code,county_code,pap_smear,mammogram,proctoscopy,pneumo_vax,flu_vac
1,3,86.1,82.0,44.1,58.7,61.8
1,9,87.2,,,,
1,15,82.7,76.5,46.2,57.3,56.2
1,17,87.9,,,,
1,31,82.1,,,,
1,33,84.3,,,,
1,39,84.6,,,,
1,47,87.1,,,,
1,49,84.8,,,,
1,51,90.3,,,,
1,53,85.6,,,,
1,55,77.6,77.2,38.9,61.7,57.6
1,59,85.0,,,,
1,69,84.4,87.6,,,
1,71,82.3,,,,
1,73,86.9,85.4,50.0,63.1,65.9
1,77,79.3,,32.9,67.3,70.1
1,81,77.5,,,,
1,83,90.4,,,,
1,89,85.1,81.5,45.9,66.3,70.8
1,95,76.9,,,,
1,97,83.4,76.8,36.9,64.8,64.9
1,101,84.8,83.4,44.8,61.9,66.1
1,103,84.9,81.5,36.0,,
1,115,81.2,,,,
1,117,91.9,85.7,44.0,,62.8
1,121,78.5,,,,
1,125,83.5,84.2,46.0,56.5,59.4
1,127,75.1,,,,
4,1,78.8,70.1,32.8,,
4,3,77.5,73.4,44.4,64.7,65.3
4,5,84.9,77.4,40.0,64.5,69.2
4,7,77.1,78.7,43.0,63.0,63.8
4,9,74.6,,29.3,,
4,13,85.2,84.4,46.0,68.8,67.8
4,15,73.6,74.3,37.6,62.7,59.2
4,17,75.9,70.8,32.6,62.4,61.6
4,19,82.4,82.5,47.3,68.2,68.3
4,21,82.0,79.5,45.2,69.5,71.3
4,23,86.0,82.1,36.3,,
4,25,76.8,82.9,46.1,72.5,66.7
4,27,77.3,79.6,43.1,63.5,59.8
5,1,70.8,71.3,,,
5,3,76.7,,,,
5,5,77.9,77.1,48.2,59.5,66.5
5,7,78.1,77.6,46.7,66.0,70.2
5,9,75.2,67.9,33.2,65.4,70.4
5,11,80.6,,,,
5,15,69.2,69.6,,,
5,19,70.9,,,,
5,21,74.4,,,,
5,23,78.3,81.1,,,75.7
5,25,87.1,,,,
5,27,86.2,74.1,23.8,,
5,29,79.2,,,,
5,31,83.4,71.6,38.0,60.7,61.9
5,33,72.4,67.0,32.4,,
5,35,77.9,73.2,26.3,,
5,37,79.3,,,,
5,43,74.0,,,,
5,45,82.3,76.9,44.0,61.5,71.4
5,47,73.9,,,,
5,49,75.5,,,,
5,51,71.7,74.0,42.6,62.5,69.8
5,53,83.0,,,,
5,55,72.7,60.6,34.4,,
5,57,82.5,,,,
5,59,73.6,74.6,33.3,,83.3
5,61,82.0,,,,
5,63,74.8,73.6,,,
5,67,73.0,,,,
5,69,84.9,78.0,39.8,,75.4
5,75,79.3,,,,
5,81,84.4,,,,
5,83,72.3,,,,
5,85,79.9,74.5,39.4,,
5,87,73.2,,,,
5,89,75.7,85.2,,,
5,91,73.3,58.3,,,
5,93,76.8,68.2,33.2,,
5,99,81.0,,,,
5,103,73.5,77.2,,,
5,107,73.8,,,,
5,111,72.1,79.9,,,
5,113,76.4,66.2,,,
5,115,75.5,71.9,36.3,,
5,119,82.9,78.9,50.0,62.3,66.3
5,121,70.7,,,,
5,123,73.9,,,,
5,125,79.3,79.3,50.8,57.4,74.6
5,131,77.1,75.7,39.4,68.9,69.0
5,133,73.0,,,,
5,139,78.7,73.0,28.6,,
5,141,69.8,,,,
5,143,78.0,74.6,36.8,61.8,65.6
5,145,79.1,67.6,28.5,64.9,75.1
5,149,70.4,,,,
6,1,81.9,79.8,48.7,62.5,68.1
6,7,86.7,87.8,,,
6,13,81.5,85.6,49.8,58.7,74.0
6,19,69.9,85.0,,,
6,29,75.3,83.6,45.6,,
6,37,81.3,79.3,40.3,58.7,66.1
6,41,80.5,,,,
6,47,92.8,,,,
6,53,85.0,,,,
6,59,83.6,86.1,49.4,62.0,74.1
6,61,88.6,94.6,,,74.5
6,65,76.8,79.7,47.4,60.2,63.6
6,67,81.9,83.5,50.3,78.6,78.4
6,71,81.5,78.8,38.8,65.6,69.7
6,73,82.7,80.8,44.1,69.3,74.6
6,75,84.5,,,,
6,77,78.5,,38.1,,
6,79,,,,,77.2
6,81,85.4,89.5,43.0,61.3,71.4
6,85,79.7,91.2,47.4,60.8,67.6
6,89,81.0,,,,
6,95,87.7,93.6,,,
6,97,76.0,78.9,44.2,,72.6
6,99,79.5,91.9,,,75.2
6,107,82.5,,,,
6,111,78.6,87.1,47.7,52.9,69.9
8,1,79.8,77.5,29.3,78.2,81.7
8,5,84.6,84.9,45.0,70.6,80.6
8,13,85.9,84.2,46.6,72.7,83.3
8,29,76.9,,,,
8,31,80.8,73.5,38.7,72.9,73.9
8,35,87.3,86.5,42.0,,
8,37,91.4,,,,
8,39,92.6,,,,
8,41,83.7,78.5,49.6,65.7,73.0
8,43,79.8,,28.0,,
8,45,84.9,,,,
8,59,85.8,80.4,45.0,71.6,76.8
8,67,77.0,,,,
8,69,84.9,86.0,54.9,75.4,76.6
8,75,93.6,,,,
8,77,85.3,81.5,45.5,79.1,75.4
8,85,,,,,86.6
8,87,83.1,,,,
8,101,80.8,74.8,32.3,60.8,70.8
8,117,94.5,,,,
8,123,84.1,78.1,38.2,67.7,78.9
8,125,91.6,,,,
9,1,86.2,83.3,55.2,60.1,70.8
9,3,83.6,86.0,55.9,67.8,72.1
9,5,85.2,84.1,51.6,72.9,73.8
9,7,85.4,87.4,58.2,69.0,73.1
9,9,82.6,82.4,54.4,67.0,72.3
9,11,87.1,84.2,54.0,71.1,67.0
9,13,85.9,86.1,53.7,64.1,68.4
9,15,83.1,80.3,50.7,71.5,76.9
10,1,86.6,85.0,54.1,66.9,68.6
10,3,87.7,88.0,57.0,65.2,70.6
10,5,87.4,85.5,57.9,68.9,66.8
11,1,87.0,84.7,54.5,50.3,58.0
12,1,85.1,83.3,50.4,,
12,5,,80.8,56.7,64.5,65.5
12,9,80.4,80.5,50.1,62.6,60.7
12,11,82.0,81.6,44.9,60.7,56.8
12,15,76.7,85.3,46.8,63.1,61.8
12,17,,77.4,59.6,68.1,62.8
12,19,87.6,86.2,42.1,,
12,21,77.3,83.5,58.3,59.6,67.4
12,31,86.1,84.7,44.1,63.2,62.6
12,33,83.0,76.4,55.7,57.1,51.1
12,35,83.7,91.0,54.6,65.1,61.2
12,45,,90.3,,,
12,53,77.7,81.8,41.8,67.7,59.5
12,55,75.5,,47.3,,66.4
12,57,85.4,82.1,43.9,63.2,54.7
12,59,,90.2,,,
12,61,78.9,82.6,53.3,67.4,66.6
12,65,88.5,,,,
12,69,78.1,77.7,50.3,66.5,63.6
12,71,78.4,81.9,54.9,64.4,64.3
12,73,87.9,88.5,60.8,,
12,75,78.9,,,,
12,79,92.4,,,,
12,81,81.3,85.3,47.1,69.6,61.3
12,83,80.8,80.5,46.5,59.5,56.6
12,85,77.7,,58.1,,
12,86,80.8,78.0,41.9,38.9,45.8
12,87,88.4,,,,
12,89,89.0,,,,
12,91,81.4,85.8,57.8,60.0,67.5
12,95,83.4,75.6,52.9,64.3,59.3
12,97,76.4,80.6,35.4,,
12,99,82.4,87.8,56.9,65.2,62.4
12,101,82.0,83.8,47.6,70.9,64.2
12,103,82.8,82.9,52.9,65.8,65.4
12,105,79.0,77.9,49.0,63.7,61.9
12,107,82.3,88.1,,,
12,109,84.7,74.5,53.6,,
12,111,74.0,77.1,48.3,64.5,55.9
12,113,88.3,89.9,54.5,,
12,115,82.1,86.9,57.5,70.9,68.8
12,117,83.8,82.3,44.3,,
12,123,91.2,90.6,,,
12,125,90.9,,,,
12,127,80.9,87.9,49.3,61.7,64.7
12,129,,,,82.9,79.3
13,1,81.5,,,,
13,9,92.4,85.9,,,
13,13,84.8,81.0,,,
13,15,86.5,85.3,,,
13,19,78.4,,,,
13,21,88.1,85.9,53.1,57.6,55.2
13,23,82.2,,,,
13,25,82.1,,,,
13,27,80.9,,,,
13,29,91.2,,,,
13,31,79.5,76.8,39.6,,
13,33,88.2,,,,
13,39,86.8,,,,
13,45,86.5,,,,
13,47,78.4,,,,
13,51,86.1,82.2,52.6,57.6,63.5
13,55,80.8,,,,
13,57,89.5,84.0,52.5,,
13,59,87.1,83.6,54.2,,
13,63,89.4,79.1,49.4,62.5,59.8
13,67,89.9,84.4,54.2,68.0,64.9
13,69,78.7,,,,
13,71,81.4,83.8,,,
13,73,89.4,83.1,51.4,,
13,75,83.9,,,,
13,87,83.5,,,,
13,89,89.6,85.9,56.0,66.5,65.9
13,91,87.2,75.8,,,
13,95,88.4,88.5,50.9,,
13,97,84.8,,,,
13,103,83.1,81.3,,,
13,105,83.7,,,,
13,107,85.8,,,,
13,113,94.6,86.7,,,
13,115,80.3,78.6,46.7,,
13,117,92.8,86.1,,,
13,119,86.6,,,,
13,121,89.2,85.5,54.1,62.1,65.1
13,127,87.1,81.2,58.6,63.2,67.5
13,129,83.0,,,,
13,133,92.7,,,,
13,135,88.7,83.5,46.9,69.3,69.3
13,137,85.5,,,,
13,139,86.1,80.0,47.8,,
13,147,84.1,,,,
13,151,85.3,81.9,,,
13,153,89.5,84.6,31.5,81.6,
13,157,77.0,,,,
13,167,89.6,,,,
13,175,81.2,73.0,38.7,57.6,62.5
13,177,91.1,,,,
13,179,89.0,86.9,,,
13,185,87.4,82.3,52.7,,63.5
13,189,88.7,,,,
13,195,92.7,,,,
13,205,84.9,,,,
13,207,88.8,,,,
13,211,86.5,,,,
13,213,86.5,,,,
13,215,84.9,79.8,43.4,48.1,52.2
13,217,88.8,,,,
13,219,87.9,,,,
13,221,96.3,,,,
13,223,88.3,,,,
13,227,86.3,,,,
13,229,80.0,,,,
13,235,86.7,,,,
13,245,87.5,82.9,45.6,66.2,67.0
13,247,91.9,92.9,,,
13,251,82.8,,,,
13,255,83.2,,,,
13,261,90.7,,,,
13,267,88.0,,,,
13,271,79.9,,,,
13,275,85.5,,,,
13,277,78.8,,,,
13,279,77.4,,,,
13,283,90.4,,,,
13,285,81.2,86.7,,,
13,291,82.2,,,,
13,295,76.1,76.7,,,
13,297,84.9,88.9,,,
13,299,83.2,79.8,,,
13,305,84.2,,,,
13,313,83.5,78.0,39.5,76.8,73.5
13,315,86.3,,,,
13,321,80.4,,,,
15,1,84.0,79.6,38.9,61.4,68.9
15,3,85.3,81.4,44.8,66.8,77.0
15,7,81.1,80.1,42.2,66.9,77.5
15,9,85.0,79.2,37.3,61.4,70.2
16,1,81.4,78.7,45.0,66.3,69.1
16,5,75.4,71.4,36.7,58.2,67.9
16,9,77.0,,24.9,,
16,11,74.4,68.4,31.8,49.8,65.2
16,13,84.5,,51.5,,
16,17,74.9,71.1,28.2,57.2,66.0
16,19,72.7,69.9,40.9,56.9,63.6
16,21,69.7,,,,
16,27,75.9,68.1,38.5,65.8,62.9
16,29,77.8,,,,
16,31,66.6,,34.0,57.2,70.8
16,35,72.9,,36.7,71.8,65.8
16,39,84.1,,,,
16,41,62.6,,,,
16,43,77.6,,,,74.0
16,45,71.2,,21.8,,
16,47,68.4,,39.1,,64.8
16,49,71.4,66.0,32.3,60.8,53.2
16,51,66.5,,38.9,,67.8
16,53,59.1,,31.1,,73.1
16,55,78.3,77.3,44.8,60.9,64.7
16,57,79.7,69.0,43.2,58.2,74.5
16,59,76.6,,29.4,,
16,65,58.9,,44.0,,
16,67,67.3,,31.7,66.2,67.5
16,69,76.7,72.9,52.4,62.5,70.8
16,75,67.4,72.1,32.8,64.7,59.3
16,79,65.7,,30.3,,64.5
16,81,78.1,,,,
16,83,72.4,71.6,38.5,69.0,70.1
16,87,,,20.4,,
17,19,81.9,90.7,,76.2,79.5
17,29,93.2,,,,
17,31,83.2,80.3,38.8,51.7,56.8
17,37,83.1,,,,
17,43,85.6,78.2,45.4,57.9,65.4
17,89,80.5,85.3,38.2,62.8,62.3
17,91,82.2,,,,
17,97,78.5,81.4,40.2,57.1,58.9
17,111,84.2,,34.1,,
17,113,81.0,,,,
17,119,84.5,78.9,42.2,57.4,67.0
17,141,92.9,,,,
17,143,87.0,81.6,35.6,,
17,161,76.3,81.4,44.0,73.6,72.3
17,163,83.2,,38.9,52.1,66.1
17,167,84.1,82.6,32.9,,74.0
17,179,80.5,,,,
17,183,86.4,,,,
17,195,88.0,,,,
17,197,80.9,79.2,35.1,37.8,53.5
17,201,87.2,78.6,51.5,66.8,66.9
18,3,83.9,74.0,43.5,63.7,61.3
18,5,82.6,,49.8,,
18,11,88.8,,,,
18,19,77.6,76.0,44.5,,
18,29,89.3,,,,
18,33,80.7,,,,
18,35,68.4,74.5,47.9,65.9,69.7
18,39,79.0,75.0,38.2,53.2,62.1
18,43,80.5,,55.1,,
18,53,75.0,82.5,44.8,,72.3
18,57,85.2,77.7,48.0,63.4,70.9
18,59,80.8,87.9,57.0,,
18,61,84.3,,,,
18,63,84.0,86.1,42.4,77.0,77.8
18,67,74.4,,43.4,,64.4
18,69,86.8,,,,
18,71,78.4,,,,
18,73,85.0,,,,
18,81,88.2,87.9,49.5,,66.1
18,85,74.0,,29.0,,
18,89,77.2,73.3,34.4,51.6,53.6
18,91,76.1,72.6,37.6,64.2,61.0
18,93,73.7,,,,
18,95,74.3,78.0,37.1,67.5,67.9
18,97,82.6,76.3,47.3,69.6,68.8
18,99,77.5,,,,
18,105,81.0,72.3,50.2,70.8,79.0
18,109,79.7,,,,
18,113,83.9,,22.0,,
18,127,76.3,82.4,31.9,60.7,65.0
18,133,81.7,,,,
18,141,79.9,73.9,41.1,70.5,70.4
18,145,80.5,,,,
18,157,82.0,77.3,39.9,66.2,70.7
18,163,85.6,83.9,50.6,74.0,69.9
18,167,74.5,,43.9,74.1,68.5
18,173,84.6,,,,
18,177,78.6,,37.9,,
18,181,84.1,,,,
19,1,78.9,,,,
19,11,,82.2,,,
19,13,83.2,83.0,60.1,68.2,74.3
19,15,76.9,80.3,43.0,,80.9
19,17,81.1,83.7,,,84.9
19,21,83.9,86.0,,,
19,23,86.9,,,,
19,27,,,29.3,,
19,29,81.2,,27.6,,
19,31,91.7,87.4,,,
19,33,83.0,85.7,45.5,81.1,74.9
19,37,88.5,,,,
19,41,81.5,86.6,,,
19,43,87.7,,,,
19,45,83.3,84.2,45.7,,
19,47,77.2,,,,
19,49,87.1,83.6,47.3,71.0,71.6
19,57,80.1,77.8,37.6,61.2,75.9
19,59,72.1,76.5,42.3,,
19,61,83.7,87.8,56.9,75.1,74.6
19,67,79.8,,,,
19,69,81.1,,,,
19,75,90.8,,,,
19,79,85.0,,,,
19,81,80.9,,,,
19,83,86.2,,,,
19,87,86.1,90.1,,,
19,97,90.5,,,,
19,99,81.2,76.4,34.2,,74.3
19,103,89.1,84.8,47.7,70.6,81.8
19,105,82.6,,,,
19,109,73.0,,,,
19,111,80.7,70.7,37.4,,
19,113,87.0,79.9,48.1,76.1,76.2
19,121,85.6,,,,
19,123,86.0,,,,
19,125,69.7,75.3,40.5,,
19,127,78.8,72.9,41.0,74.1,71.6
19,129,76.7,,,,
19,131,83.1,,,,
19,139,79.1,84.7,49.1,,
19,141,81.6,,,,
19,145,77.8,,,,80.6
19,149,83.2,,32.5,,
19,153,88.1,81.1,48.0,72.4,76.5
19,155,80.7,79.3,37.3,65.4,75.7
19,163,86.3,83.0,50.1,73.4,68.3
19,167,84.8,,37.3,,
19,169,86.2,84.8,62.8,71.9,79.8
19,171,82.3,82.6,,,
19,175,76.8,,,,
19,179,71.9,,28.2,,
19,181,84.9,74.3,39.8,71.8,75.3
19,183,79.5,,,,
19,187,73.3,76.3,40.4,68.1,75.8
19,189,85.4,,,,
19,191,82.1,,,,
19,193,81.2,75.1,36.7,66.8,78.2
19,197,78.1,,,,
20,5,,,19.7,,
20,9,,87.4,,75.0,78.5
20,15,83.0,81.9,36.9,73.6,72.1
20,21,78.5,,,,
20,31,88.5,,,,
20,35,71.6,72.6,36.1,54.7,61.1
20,37,78.9,72.1,38.0,55.6,62.8
20,41,78.1,,,,
20,45,83.7,78.9,53.1,65.3,75.6
20,51,85.4,88.1,,,
20,55,70.7,,,,
20,57,75.3,,33.8,,
20,59,84.9,,,,
20,61,87.2,,,,
20,79,82.8,84.6,49.8,61.6,65.4
20,87,83.3,,,,
20,91,89.0,86.3,54.3,66.3,74.9
20,99,77.3,,23.1,,
20,103,84.8,84.7,40.7,63.5,69.4
20,111,78.5,81.7,48.1,,
20,113,76.5,86.0,38.4,63.6,71.8
20,115,84.0,,,,
20,121,87.6,,,,
20,125,74.7,69.2,23.7,58.9,69.0
20,127,85.6,,,,
20,133,73.9,,,,
20,149,86.4,,,,
20,155,81.3,83.5,46.5,61.8,70.2
20,159,85.3,,,,
20,161,88.7,81.1,45.2,,
20,169,77.5,80.8,40.3,55.8,59.0
20,173,83.6,80.5,42.8,69.2,68.9
20,175,78.8,,18.7,,
20,177,80.6,84.3,49.6,62.1,68.6
20,191,81.1,78.7,29.4,,
20,205,,,7.0,,
20,209,86.1,77.3,42.1,56.9,59.1
21,9,73.1,,31.5,,57.4
21,11,81.5,,23.0,,76.6
21,13,78.2,,,,
21,15,86.5,77.9,46.5,74.3,75.4
21,19,78.9,64.7,39.9,58.5,67.8
21,23,83.3,,,,
21,25,79.1,,23.4,,
21,27,80.6,,,,
21,29,83.7,,,,
21,31,82.3,,,,
21,35,83.5,80.4,42.7,62.3,68.9
21,37,74.3,69.1,38.8,56.7,58.1
21,43,78.6,,38.8,,61.6
21,45,84.3,85.0,,,
21,47,82.7,,38.9,,60.5
21,49,85.4,,,,
21,59,80.6,81.3,44.7,67.9,64.4
21,67,91.6,88.9,53.0,64.9,69.9
21,69,79.0,72.0,40.4,54.2,55.5
21,71,81.7,79.4,37.0,,
21,73,85.8,,,,
21,83,81.5,79.7,49.2,67.8,70.4
21,85,81.1,,25.4,,
21,87,83.9,,,,
21,89,74.2,74.1,40.8,60.4,68.8
21,93,83.9,75.6,42.9,66.4,68.0
21,95,75.0,,31.0,,
21,101,85.1,76.9,38.2,67.3,67.2
21,107,81.8,74.2,52.1,50.6,60.0
21,109,81.3,,,,
21,111,82.3,86.6,51.0,65.1,70.8
21,115,69.7,,,,
21,117,84.3,82.5,43.7,56.7,62.9
21,119,79.4,,,,
21,121,81.5,,,,
21,125,75.8,61.7,34.4,48.6,55.6
21,127,78.6,,,,
21,131,75.9,,,,
21,133,77.8,66.0,31.6,,
21,135,78.3,,27.0,,
21,141,,83.3,,,
21,145,82.8,82.2,47.4,60.9,74.3
21,147,78.9,,,,
21,149,89.1,,,,
21,153,83.2,,,,
21,155,83.2,,,,
21,157,82.4,81.0,42.3,52.9,58.7
21,161,86.3,80.7,44.9,56.8,59.7
21,163,88.7,,,,
21,165,84.7,,,,
21,173,80.8,73.7,39.7,67.2,65.4
21,175,79.0,69.1,33.5,59.9,71.0
21,177,85.3,80.1,36.2,,
21,179,83.7,,,,
21,183,79.2,,,,
21,185,92.2,,,,
21,193,78.8,71.5,35.2,51.9,50.5
21,195,81.2,74.4,29.3,62.8,62.5
21,199,82.6,78.0,42.5,54.7,61.4
21,203,78.5,,,,
21,205,73.7,68.6,37.5,59.6,59.6
21,217,81.1,82.0,29.0,,
21,219,92.5,,,,
21,225,86.5,,,,
21,227,86.4,83.3,37.1,58.3,64.1
21,231,76.0,,,,
21,233,89.3,,,,
21,235,86.6,,37.6,,
22,1,82.9,74.7,35.5,,
22,5,87.5,81.7,48.5,,
22,9,76.6,,30.9,,
22,11,75.3,,,,
22,15,83.7,77.1,43.7,62.6,70.9
22,17,85.4,76.6,38.9,65.6,63.0
22,19,79.4,76.8,37.0,68.2,63.3
22,27,80.2,,,,
22,31,79.7,,,,
22,33,87.1,87.1,45.6,69.9,69.6
22,37,87.3,,,,
22,39,78.0,,22.7,,
22,41,78.7,,,,
22,43,88.2,,,,
22,45,82.8,82.2,30.7,,
22,47,87.8,,,,
22,49,87.5,,,,
22,51,83.0,79.6,39.5,60.6,63.2
22,53,76.5,,,,
22,55,84.1,82.9,31.9,62.7,63.1
22,57,85.5,80.2,40.1,,
22,61,83.6,,,,
22,63,84.7,79.2,38.8,,
22,67,79.1,,,,
22,69,86.7,,,,
22,71,87.4,80.3,38.3,49.6,59.0
22,73,82.6,76.3,41.8,59.1,59.3
22,77,85.5,,,,
22,79,78.6,74.3,35.7,69.2,68.1
22,83,84.4,,,,
22,85,77.6,,,,
22,87,82.0,88.4,,,
22,89,89.5,87.8,,,
22,93,89.1,,,,
22,95,83.9,86.7,,,
22,97,80.7,76.2,29.0,61.0,59.1
22,99,77.2,83.1,27.5,,
22,101,77.5,,,,
22,103,82.2,82.4,45.5,66.9,61.3
22,105,82.1,73.4,34.6,48.9,59.2
22,109,85.4,77.2,32.6,,62.5
22,111,84.8,,,,
22,113,77.0,71.6,35.2,,
22,115,80.8,83.8,,,
22,117,85.8,84.4,,,
22,119,77.0,,,,
22,121,87.8,,,,
22,127,77.5,,,,
23,1,83.5,83.3,53.1,66.4,73.1
23,3,82.8,83.6,40.7,59.7,64.4
23,5,85.8,85.4,57.3,68.9,75.4
23,7,86.9,83.0,42.6,68.2,71.1
23,9,84.8,84.9,41.9,56.4,66.4
23,11,82.3,86.3,56.3,73.2,78.3
23,13,82.9,80.7,50.1,67.2,74.6
23,15,81.5,85.0,54.5,66.1,68.5
23,17,85.6,88.4,49.0,61.0,69.9
23,19,83.3,87.2,44.2,65.9,71.2
23,21,82.3,80.6,46.8,,74.4
23,23,80.9,80.1,51.4,60.8,72.8
23,25,80.6,77.7,50.6,64.0,60.8
23,27,80.6,80.6,43.8,64.5,71.7
23,29,84.0,78.2,38.6,63.1,71.0
23,31,85.5,83.3,50.4,66.4,74.1
24,1,81.6,84.8,44.6,62.0,61.4
24,3,87.8,85.4,60.1,64.8,65.6
24,5,87.2,86.4,54.3,65.6,64.4
24,9,89.1,86.9,52.0,,65.8
24,11,,88.9,45.8,,
24,13,86.1,88.1,57.4,70.3,72.8
24,15,83.5,85.2,42.4,65.4,63.7
24,17,89.5,86.2,54.9,59.7,61.2
24,19,90.3,87.7,59.5,,
24,21,87.3,80.6,49.9,71.0,73.2
24,23,71.1,,41.4,,
24,25,87.9,80.7,48.7,62.2,70.6
24,27,90.4,89.4,55.3,64.4,77.5
24,29,85.6,,,,
24,31,87.5,84.7,56.2,66.0,75.1
24,33,89.5,83.1,57.4,59.5,58.7
24,35,85.2,82.6,48.1,,
24,37,87.7,79.9,48.4,60.7,59.8
24,39,88.4,,,,
24,41,93.1,92.8,57.5,61.7,60.9
24,43,86.1,81.9,53.5,73.6,65.3
24,45,88.7,83.1,52.7,54.3,52.9
24,47,84.3,82.1,57.4,63.9,62.3
24,510,86.8,81.2,43.7,56.4,54.6
25,1,83.3,87.6,56.8,67.3,72.7
25,3,80.5,80.8,51.4,71.2,73.5
25,5,83.6,84.0,48.7,59.2,63.3
25,7,89.7,,,,
25,9,87.5,85.9,51.8,63.0,71.6
25,11,90.3,83.6,47.3,68.0,78.5
25,13,86.1,83.4,50.8,69.4,71.0
25,15,91.0,89.1,47.1,66.3,70.0
25,17,85.8,88.5,54.2,69.7,76.0
25,21,83.0,87.4,54.4,68.0,74.3
25,23,85.4,86.8,52.8,63.6,71.1
25,25,85.8,85.7,52.7,59.5,72.2
25,27,83.3,84.2,49.3,67.7,70.7
26,5,79.5,89.9,,,
26,17,84.5,,,,
26,21,78.8,78.5,50.8,65.0,63.7
26,25,78.2,,51.4,69.5,69.4
26,37,89.7,,,,
26,41,93.0,,,,
26,45,88.0,91.0,,,74.0
26,49,79.9,82.9,45.5,61.5,66.9
26,55,93.1,91.3,,,
26,65,86.6,81.1,55.9,68.1,72.0
26,67,85.4,,,,
26,75,88.2,85.6,54.1,,72.7
26,77,85.5,77.0,54.5,70.7,74.6
26,81,85.6,83.3,55.9,67.9,70.4
26,91,90.1,84.3,,,
26,93,89.3,,46.2,,
26,99,82.6,82.6,53.4,61.6,67.0
26,103,,,,,79.1
26,111,77.9,,60.1,,
26,115,84.6,88.4,37.1,,
26,117,82.5,,,,
26,121,86.1,87.2,56.0,76.7,77.0
26,125,86.1,87.5,57.5,64.0,67.0
26,139,85.6,87.8,62.4,71.2,71.7
26,145,88.7,89.4,51.3,60.2,67.5
26,147,86.3,,52.0,,
26,149,83.9,,,,
26,155,89.3,,,,
26,159,86.4,,,,
26,161,86.0,86.2,57.6,69.2,73.9
26,163,84.7,79.4,48.4,57.3,58.8
27,3,82.4,82.5,58.9,76.5,76.7
27,13,,,,,80.2
27,17,79.3,,,,
27,19,91.4,94.1,,,
27,21,83.1,,,,
27,25,85.4,,,,
27,27,89.3,,,,
27,35,84.2,87.1,59.0,,72.3
27,37,86.5,86.6,61.3,76.0,80.9
27,41,84.7,,,,
27,53,84.5,84.4,62.3,75.5,79.9
27,59,86.5,,,,
27,61,,,,,82.2
27,67,87.0,,,,
27,85,87.7,,,,
27,97,83.1,,,,
27,99,82.1,,,,74.1
27,109,86.1,83.8,65.1,75.7,77.3
