state_fips_code,chsi_state_name,county_fips_code,chsi_county_name,chsi_state_abbr,strata_id_number,strata_determining_factors,number_counties,population_size,poverty,age_19_under,age_19_64,age_65_84,age_85_and_over,white,black,native_american,asian,hispanic
1,Alabama,1,Autauga,AL,29,"frontier status, population size, poverty, age",37,48612,10.4,26.9,62.3,9.8,0.9,80.7,17.3,0.5,0.6,1.7
1,Alabama,3,Baldwin,AL,16,"frontier status, population size, poverty, age",27,162586,10.2,23.5,60.3,14.5,1.8,88.4,9.9,0.5,0.4,2.3
1,Alabama,5,Barbour,AL,51,"frontier status, population size, poverty, age, population density",33,28414,22.1,24.3,62.5,11.6,1.6,52.2,46.8,0.4,0.3,3.1
1,Alabama,7,Bibb,AL,42,"frontier status, population size, poverty, age",53,21516,16.8,24.6,63.3,10.9,1.2,76.8,22.5,0.3,0.1,1.4
1,Alabama,9,Blount,AL,28,"frontier status, population size, poverty, age",39,55725,11.9,24.5,62.1,12.1,1.3,97.1,1.5,0.5,0.2,6.3
1,Alabama,11,Bullock,AL,75,"frontier status, population size, poverty, age, population density",37,11055,26.2,24.7,63.2,10.0,2.2,27.8,71.4,0.4,0.2,5.9
1,Alabama,13,Butler,AL,76,"frontier status, population size, poverty, age, population density",38,20766,20.0,25.6,58.5,13.6,2.4,57.5,41.9,0.2,0.3,0.9
1,Alabama,15,Calhoun,AL,6,"frontier status, population size, poverty",53,112141,16.4,24.1,61.6,12.7,1.5,78.3,19.7,0.4,0.8,2.0
1,Alabama,17,Chambers,AL,50,"frontier status, population size, poverty, age, population density",27,35460,16.2,24.8,59.5,13.5,2.2,60.8,38.6,0.1,0.2,1.2
1,Alabama,19,Cherokee,AL,64,"frontier status, population size, poverty, age, population density",41,24522,15.2,21.9,61.4,15.2,1.4,93.3,5.5,0.3,0.3,1.1
1,Alabama,21,Chilton,AL,32,"frontier status, population size, poverty, age",37,41744,14.9,25.0,62.6,11.3,1.2,88.3,10.5,0.3,0.4,3.7
1,Alabama,23,Choctaw,AL,66,"frontier status, population size, poverty, age, population density",37,14807,18.7,24.9,59.5,13.7,2.0,55.7,43.9,0.1,0.1,0.8
1,Alabama,25,Clarke,AL,51,"frontier status, population size, poverty, age, population density",33,27269,19.2,27.3,58.5,12.4,1.8,55.8,43.7,0.2,0.2,0.7
1,Alabama,27,Clay,AL,63,"frontier status, population size, poverty, age, population density",32,13964,14.0,22.4,60.3,14.9,2.5,84.2,15.0,0.3,0.1,2.1
1,Alabama,29,Cleburne,AL,41,"frontier status, population size, poverty, age",47,14460,14.0,23.3,62.6,12.8,1.4,95.3,3.8,0.3,0.2,1.8
1,Alabama,31,Coffee,AL,32,"frontier status, population size, poverty, age",37,45567,13.7,24.5,61.1,12.9,1.5,77.9,18.5,0.9,1.2,3.2
1,Alabama,33,Colbert,AL,21,"frontier status, population size, poverty, age",44,54660,14.0,23.0,60.9,14.0,2.0,81.9,16.7,0.4,0.3,1.3
1,Alabama,35,Conecuh,AL,75,"frontier status, population size, poverty, age, population density",37,13257,22.0,25.3,59.3,13.4,2.1,55.3,44.1,0.2,0.1,0.9
1,Alabama,37,Coosa,AL,41,"frontier status, population size, poverty, age",47,11162,13.4,23.2,61.2,13.8,1.8,67.6,31.6,0.3,0.1,1.5
1,Alabama,39,Covington,AL,35,"frontier status, population size, poverty, age",27,37003,17.5,23.4,58.7,15.5,2.5,86.1,12.6,0.5,0.3,0.9
1,Alabama,41,Crenshaw,AL,71,"frontier status, population size, poverty, age, population density",33,13727,17.6,24.2,58.7,14.9,2.3,74.6,24.6,0.4,0.1,0.8
1,Alabama,43,Cullman,AL,21,"frontier status, population size, poverty, age",44,79886,13.3,23.9,61.3,13.3,1.5,97.3,1.2,0.4,0.3,3.1
1,Alabama,45,Dale,AL,33,"frontier status, population size, poverty, age",41,48748,15.8,27.7,59.4,11.8,1.2,75.5,20.9,0.5,1.3,3.2
1,Alabama,47,Dallas,AL,52,"frontier status, population size, poverty, age, population density",40,44366,25.0,29.0,57.4,12.1,1.5,32.4,66.9,0.1,0.3,0.6
1,Alabama,49,DeKalb,AL,24,"frontier status, population size, poverty, age",35,67271,15.1,25.0,61.2,12.3,1.6,96.0,1.8,0.8,0.3,8.8
1,Alabama,51,Elmore,AL,19,"frontier status, population size, poverty, age",37,73937,12.5,25.1,64.0,9.8,1.2,77.3,20.7,0.4,0.5,1.7
1,Alabama,53,Escambia,AL,51,"frontier status, population size, poverty, age, population density",33,38082,18.6,24.4,61.4,12.5,1.7,64.3,31.7,2.9,0.3,1.0
1,Alabama,55,Etowah,AL,6,"frontier status, population size, poverty",53,103189,15.7,24.0,60.3,13.9,1.8,83.8,14.6,0.3,0.5,2.4
1,Alabama,57,Fayette,AL,63,"frontier status, population size, poverty, age, population density",32,18228,16.1,23.5,60.4,13.6,2.4,87.4,11.8,0.2,0.3,0.9
