state_code,county_code,no_exercise,few_fruit_veg,obesity,high_blood_pres,smoker,diabetes,uninsured,prim_care_phys_rate,dentist_rate,community_health_center_ind
1,1,27.8,78.6,24.5,29.1,26.6,14.2,5690,45.3,22.6,1
1,3,27.2,76.2,23.6,30.5,24.6,7.2,19798,67.0,30.8,1
1,5,,,25.6,,17.7,6.6,5126,45.8,24.6,1
1,7,,86.6,,,,13.1,3315,41.8,18.6,1
1,9,33.5,74.6,24.2,,23.6,8.4,8131,16.2,10.8,2
1,11,,,,,,,2295,54.3,18.1,1
1,13,24.5,,22.0,,27.3,9.5,4055,43.3,19.3,1
1,15,29.2,81.9,27.0,33.2,25.5,11.2,16456,75.8,41.9,1
1,17,34.7,84.6,,,11.7,17.1,5533,53.6,22.6,1
1,19,,,,,23.6,13.3,3583,28.5,12.2,2
1,21,30.3,82.8,31.2,26.5,30.0,6.0,6130,31.1,19.2,1
1,23,,,,,17.1,13.5,2677,33.8,20.3,1
1,25,31.5,,,,,15.8,4593,55.0,29.3,2
1,27,,,,,23.9,12.2,2320,35.8,14.3,2
1,29,,,,,,10.5,2107,0.0,6.9,2
1,31,23.3,,25.5,31.3,23.0,10.3,6764,48.3,39.5,1
1,33,30.2,76.9,30.1,,21.7,13.6,8141,60.4,31.1,1
1,35,,,,,12.3,8.2,2657,60.3,7.5,1
1,37,,,,,,15.0,2028,9.0,9.0,1
1,39,28.8,,30.2,,27.8,12.1,6094,59.5,24.3,1
1,41,,,,,,,2504,14.6,14.6,1
1,43,29.4,76.2,22.2,35.0,27.6,10.0,11912,53.8,22.5,1
1,45,30.4,79.5,25.0,,29.3,12.1,7831,24.6,22.6,2
1,47,31.5,85.9,36.6,,20.4,11.5,9242,101.4,38.3,1
1,49,37.0,80.7,24.3,35.3,19.1,7.8,12260,34.2,19.3,1
1,51,27.7,85.0,24.8,23.0,22.6,5.5,8320,33.8,16.2,1
1,53,34.3,87.1,33.7,,26.1,11.4,6490,57.8,26.3,1
1,55,34.1,81.4,27.1,38.2,31.5,10.2,16180,72.7,42.6,1
1,57,,,32.7,,21.2,12.7,2358,60.3,16.5,2
1,59,28.9,85.5,,,,7.2,5977,35.8,22.8,1
1,61,,,34.5,,,9.4,4759,35.0,15.5,2
1,63,,,,,,7.1,2384,31.1,10.4,1
1,65,,,,,,5.2,3422,27.3,5.5,1
1,67,,,,,,8.0,2556,18.1,30.1,2
1,69,32.9,77.7,29.5,34.0,25.0,8.8,14235,106.1,47.7,1
1,71,34.0,82.3,29.4,29.2,37.0,6.1,7294,70.8,29.8,1
1,73,29.0,79.1,27.1,31.9,23.4,9.7,87428,154.9,71.5,1
1,75,,,,,,3.2,2237,13.4,20.1,2
1,77,25.8,77.1,23.8,34.7,21.1,6.7,11424,58.2,49.0,1
1,79,31.9,85.2,19.9,,28.5,9.2,5396,28.9,8.7,1
1,81,25.9,74.9,21.7,24.5,27.1,7.8,17335,63.3,26.0,1
1,83,30.4,79.5,26.0,,25.0,8.1,8934,39.7,15.6,1
1,85,,,,,,9.6,2951,15.3,7.6,1
1,87,,,,,15.7,13.6,4325,26.3,21.9,1
1,89,22.9,75.6,23.1,24.9,21.3,6.5,35743,95.2,46.6,1
1,91,,,,,15.6,11.3,4074,54.8,13.7,1
1,93,,84.8,30.9,,,10.1,5205,53.1,26.5,2
1,95,34.8,82.1,27.5,36.8,31.6,7.2,14593,63.1,33.9,2
1,97,30.8,76.2,26.6,27.2,25.1,6.6,65687,95.4,38.4,1
1,99,,,,,,8.1,4269,50.6,29.5,1
1,101,28.2,75.6,23.9,27.8,20.7,8.5,32259,107.4,49.2,1
1,103,23.4,74.5,22.5,32.7,28.9,6.7,16097,76.5,41.3,1
1,105,,,,,,,2776,35.2,26.4,1
1,107,,,,,15.2,12.8,3606,49.6,9.9,2
1,109,24.2,,29.1,,16.5,11.3,5696,57.4,27.0,1
1,111,35.2,,,,22.1,8.1,3575,26.4,17.6,2
1,113,32.8,,28.9,,22.0,9.7,8785,32.4,16.2,1
1,115,28.2,79.7,27.6,39.0,28.5,13.0,8534,22.1,15.2,2
1,117,18.9,78.3,20.8,26.7,21.0,4.8,13249,95.6,28.0,1
1,119,,,,,,11.8,3465,36.2,14.5,1
1,121,34.1,79.1,32.7,42.2,24.1,10.9,12378,38.5,21.1,1
1,123,32.1,79.3,23.2,,29.4,5.6,6488,61.4,34.4,1
1,125,27.1,79.0,25.3,29.7,23.8,7.9,23311,97.7,32.0,1
1,127,34.9,79.3,30.5,35.0,33.8,11.5,10818,45.6,29.9,1
1,129,,,,,,10.5,3037,33.8,11.3,1
1,131,,,,,,7.6,2960,30.9,7.7,1
1,133,,,28.0,,26.9,8.5,4592,32.7,12.2,2
2,13,,,,,,,488,73.7,0.0,1
2,16,,,,,,,854,18.6,18.6,1
2,20,,,,,,,37239,107.3,78.9,1
2,50,,,,,,,4088,75.9,58.4,1
2,60,,,,,,,153,0.0,0.0,1
2,68,,,,,,,276,0.0,0.0,1
2,70,,,,,,,1133,182.7,101.5,1
2,90,,,,,,,11681,93.7,75.4,1
2,100,,,,,,,355,88.0,44.0,1
2,110,,,,,,,3926,122.6,67.8,1
2,122,,,,,,,8308,78.9,40.4,1
2,130,,,,,,,1804,128.2,75.4,1
2,150,,,,,,,2491,91.9,61.3,1
2,164,,,,,,,395,0.0,0.0,1
2,170,,,,,,,9561,46.0,32.9,1
2,180,,,,,,,1795,53.6,64.3,1
2,185,,,,,,,1202,57.8,43.3,1
2,188,,,,,,,1291,39.4,39.4,1
2,201,,,,,,,1176,35.3,53.0,1
2,220,,,,,,,1093,189.2,77.9,1
2,232,,,,,,,598,0.0,0.0,1
2,240,,,,,,,1306,30.2,60.5,2
2,261,,,,,,,1551,50.5,30.3,1
2,270,,,,,,,2244,0.0,0.0,1
2,280,,,,,,,1015,96.1,64.1,1
2,282,,,,,,,114,0.0,0.0,1
2,290,,,,,,,1300,16.3,16.3,1
4,1,22.6,64.6,24.6,18.4,14.3,7.5,17218,51.9,23.1,1
4,3,22.8,72.7,23.8,26.0,20.2,9.1,23944,42.0,28.5,1
4,5,14.8,71.0,16.5,17.2,19.6,4.2,22678,87.2,58.9,1
4,7,32.7,74.2,24.5,34.5,25.6,8.8,10361,75.5,27.1,2
4,9,25.8,79.4,23.8,24.9,16.1,10.9,6343,36.3,42.3,1
4,11,,,,,,5.0,1082,39.9,13.3,1
4,12,26.6,83.4,22.0,,18.1,8.3,4885,34.6,9.9,2
4,13,23.3,74.7,19.9,21.4,19.9,6.3,537647,69.8,33.5,1
4,15,27.9,77.6,25.0,30.6,29.4,7.5,31916,39.0,20.8,1
4,17,23.7,75.4,25.1,27.1,19.8,8.8,22206,49.8,24.0,1
4,19,20.9,70.7,19.7,23.8,18.7,6.6,149746,93.1,38.2,1
4,21,26.9,73.8,26.7,28.3,21.8,10.6,33439,21.3,10.0,1
4,23,36.9,66.8,20.0,20.4,18.1,7.0,11544,45.2,16.7,1
